Instance;Best_Seed;SI;SF;SO;Total_Time_s;Improvement_%;Gap_to_Optimal_%
11_hes;42;413.0;413.0;169.0;2.95;0.00;144.38
11_ros;42;48.0;48.0;30.0;4.64;0.00;60.00
11_ton;42;464.0;190.0;110.0;74.77;59.05;72.73
11_wee;42;201.0;74.0;29.0;219.71;63.18;155.17
12_hes;42;208.0;118.0;107.0;6.83;43.27;10.28
12_ros;42;78.0;62.0;27.0;3.14;20.51;129.63
12_ton;42;429.0;285.0;108.0;65.32;33.57;163.89
12_wee;42;222.0;128.0;30.0;143.79;42.34;326.67
1_hes;42;559.0;141.0;94.0;6.17;74.78;50.00
1_ros;101;125.0;21.0;20.0;3.61;83.20;5.00
1_ton;42;632.0;317.0;87.0;70.41;49.84;264.37
1_wee;42;676.0;153.0;25.0;176.72;77.37;512.00
2_hes;42;511.0;124.0;95.0;8.59;75.73;30.53
2_ros;42;118.0;23.0;22.0;2.44;80.51;4.55
2_ton;42;420.0;228.0;87.0;99.48;45.71;162.07
2_wee;42;278.0;76.0;26.0;291.95;72.66;192.31
41_hes;42;401.0;91.0;35.0;11.78;77.31;160.00
41_ros;42;36.0;20.0;10.0;2.57;44.44;100.00
41_ton;42;458.0;192.0;28.0;181.15;58.08;585.71
41_wee;42;272.0;72.0;10.0;394.73;73.53;620.00
42_hes;42;302.0;69.0;40.0;10.75;77.15;72.50
42_ros;42;59.0;28.0;10.0;3.17;52.54;180.00
42_ton;42;1452.0;452.0;32.0;138.84;68.87;1312.50
42_wee;42;453.0;128.0;9.0;377.23;71.74;1322.22
51_hes;42;226.0;65.0;51.0;18.73;71.24;27.45
51_ros;42;41.0;18.0;11.0;3.56;56.10;63.64
51_ton;42;426.0;103.0;35.0;235.82;75.82;194.29
51_wee;42;205.0;102.0;12.0;390.42;50.24;750.00
52_hes;42;367.0;110.0;50.0;13.02;70.03;120.00
52_ros;42;83.0;53.0;10.0;3.71;36.14;430.00
52_ton;42;288.0;230.0;43.0;146.78;20.14;434.88
52_wee;42;225.0;59.0;9.0;395.43;73.78;555.56
61_hes;42;979.0;77.0;66.0;33.70;92.13;16.67
61_ros;42;60.0;20.0;16.0;9.77;66.67;25.00
61_ton;42;1589.0;379.0;61.0;185.83;76.15;521.31
61_wee;42;862.0;145.0;15.0;389.92;83.18;866.67
62_hes;42;621.0;70.0;56.0;38.36;88.73;25.00
62_ros;42;125.0;25.0;13.0;11.08;80.00;92.31
62_ton;42;2251.0;612.0;66.0;221.18;72.81;827.27
62_wee;42;772.0;101.0;18.0;385.35;86.92;461.11
71_hes;42;642.0;193.0;91.0;20.04;69.94;112.09
71_ros;42;83.0;30.0;15.0;9.42;63.86;100.00
71_ton;42;1798.0;389.0;54.0;255.75;78.36;620.37
71_wee;42;1220.0;210.0;18.0;349.57;82.79;1066.67
72_hes;42;639.0;108.0;65.0;41.45;83.10;66.15
72_ros;42;81.0;17.0;16.0;11.76;79.01;6.25
72_ton;42;965.0;733.0;57.0;226.05;24.04;1185.96
72_wee;42;779.0;88.0;16.0;346.31;88.70;450.00
